word,freq,rel_freq
nicht,4307051,0.057011409665399006
einer,2525460,0.033428913345483625
einen,2502326,0.03312269408984923
einem,2190561,0.02899593493739594
durch,1966372,0.02602839846720412
haben,1924253,0.025470879282105792
diese,1585093,0.020981499030486593
wurde,1217929,0.016121436491550657
unter,1109927,0.01469183970556358
sowie,1032909,0.01367237075810749
dabei,922684,0.012213348649855555
immer,918353,0.012156020232973368
eines,868274,0.011493136421141671
damit,843666,0.0111674061780946
schon,806207,0.010671570304626609
viele,767268,0.010156144023173016
ihrer,739838,0.009793059637331777
ihnen,704757,0.009328700784262274
ihren,689995,0.009133299701368057
keine,676419,0.008953597418386625
seine,583727,0.007726655460953299
neuen,524436,0.006941834596173389
gegen,511076,0.006764991453816884
heute,495506,0.006558895067103501
jetzt,468682,0.006203832159126637
jahre,462218,0.006118269728573309
stadt,455770,0.0060329190862144205
ihrem,448269,0.00593363013330902
waren,443850,0.005875136881357418
steht,439636,0.005819357165647065
etwas,428159,0.005667438846423591
neben,427933,0.005664447338177141
allem,427450,0.005658053982057516
dafür,426697,0.005648086700156734
leben,419031,0.005546613681496182
daten,411475,0.005446596706672397
thema,396810,0.005252479589706966
hatte,389158,0.005151191885716549
kommt,385715,0.005105617713625722
allen,367632,0.0048662573436232745
alles,360573,0.00477281903958925
statt,357709,0.004734908952784681
liegt,356430,0.004717979133991719
zudem,339190,0.004489777354483773
macht,325415,0.0043074409558340075
jeder,317858,0.004207410744248071
denen,309189,0.004092661253148629
daher,309164,0.004092330334094818
geben,304810,0.004034697471683124
erste,284254,0.00376260258887771
unser,271958,0.003599843361451393
lässt,267638,0.0035426605489528823
seite,263932,0.0034936051084159653
deren,260136,0.003443358359285329
sehen,257815,0.003412635834329532
sogar,253615,0.003357041433289313
zeigt,250029,0.0033095744042106884
gehen,248421,0.0032882896906695756
bitte,238829,0.003161322668103438
genau,235876,0.0031222345094673028
frage,232786,0.003081332914416285
davon,231518,0.0030645487000069997
aller,227600,0.003012687065893767
gerne,226895,0.0030033551485763015
lange,225537,0.0029853796255732974
jeden,210124,0.0027813614105178467
meine,201789,0.002671032997977317
platz,193426,0.002560333956096519
blick,191562,0.0025356606314443837
würde,191101,0.002529558484092112
hilfe,184696,0.0024447770225057785
recht,184017,0.002435789261004276
führt,177161,0.0023450380196871953
wegen,176382,0.0023347265819704498
ihres,175252,0.0023197690407382003
wenig,173151,0.0022919586034559386
regel,169942,0.002249481833708781
stand,169399,0.00224229427186001
somit,166346,0.0022018824370086316
rolle,164817,0.0021816434276775614
sieht,160652,0.0021265123133126776
jedes,158745,0.0021012698078879876
warum,157594,0.002086034294650537
meist,153791,0.0020356948881848345
jedem,153172,0.0020275013324124783
woche,152424,0.002017600234322458
stark,148098,0.001960338001251033
junge,146929,0.0019448642262948387
setzt,144170,0.0019083439995162758
grund,144036,0.0019065702733878497
sechs,139172,0.0018421866622784153
deine,138508,0.0018333974522091996
neues,137309,0.0018175265743884325
guten,136499,0.0018068047970449617
preis,135885,0.0017986774250833679
beide,134507,0.001780437166837315
ganze,133345,0.0017650560492161879
weise,132181,0.0017496484580707557
april,129162,0.0017096866731325603
musik,127617,0.0016892358756070511
daran,125127,0.0016562763378474927
hohen,124640,0.0016498300346792579
nimmt,120263,0.0015918927267380583
alten,119680,0.0015841756944031898
markt,119605,0.0015831829372417573
alter,119476,0.0015814753949240936
werde,118582,0.0015696417295598185
tagen,118157,0.0015640161056450343
essen,117940,0.0015611437282579564
natur,117784,0.0015590787933621767
namen,117727,0.0015583242979194882
suche,115729,0.0015318772471389268
trotz,112723,0.001492087540108713
seien,111033,0.0014697174120711011
sagen,109646,0.0014513580229656765
aktiv,108479,0.001435910721533787
spiel,105665,0.0013986624728368404
knapp,103762,0.0013734729144607603
ideen,102613,0.0013582638747476146
lesen,102411,0.0013555900487928231
hilft,100325,0.0013279781629428479
bevor,100156,0.0013257411501390866
sagte,99881,0.0013221010405471674
hotel,99344,0.001314992899271311
neuer,98553,0.0013045226204087363
darin,98425,0.0013028283148532249
hause,96125,0.0012723837619026289
gäste,95390,0.0012626547417205905
links,95161,0.0012596235231876834
hätte,93930,0.0012433290689780384
basis,92900,0.0012296952039610321
darum,92362,0.0012225738259230234
beste,90975,0.0012042144368175985
tiere,90913,0.0012033937575641478
mitte,88792,0.001175318585038837
indem,88112,0.0011663175867751827
tipps,87782,0.0011619494552648798
gerät,87522,0.001158507897105247
folge,85328,0.001129466440942809
sinne,85322,0.0011293870203698945
stets,85306,0.0011291752321754556
zuvor,84449,0.0011178313270108205
schön,83654,0.001107308101099636
sport,83263,0.0011021325270980347
tätig,82249,0.0010887104502754676
titel,81424,0.0010777901214997104
kraft,80786,0.001069345067246458
sicht,80666,0.001067756655788166
falls,80222,0.0010618795333924857
liebe,79548,0.0010529579557017458
abend,79130,0.0010474249891220288
kunst,78565,0.0010399462185059043
läuft,78302,0.0010364649500598142
sonst,78272,0.0010360678471952414
meter,78225,0.0010354457193740769
monat,78121,0.0010340690961102238
legen,77575,0.0010268418239749953
fällt,77517,0.0010260740917701543
beruf,77510,0.0010259814344350873
reihe,77093,0.0010204617046175226
sorgt,76937,0.0010183967697217431
menge,76248,0.0010092766405987168
offen,75850,0.0010040084092620483
reise,75732,0.0010024464713280614
firma,75596,0.0010006462716753305
laden,75428,0.0009984224956337217
ziele,74766,0.0009896597590888108
fokus,74323,0.0009837958734552831
dinge,74029,0.0009799042653824677
fotos,73121,0.0009678852853480586
trägt,70790,0.0009370303927707371
motto,70697,0.0009357993738905607
finde,70441,0.0009324107627795379
leute,70405,0.0009319342393420503
genug,70070,0.0009274999240209852
dient,68868,0.0009115893359137607
start,67612,0.0008949639626503048
gutes,67509,0.0008936005761486041
hinzu,65692,0.0008695493793176332
könnt,65586,0.0008681462825294754
kamen,65137,0.0008622029763230329
sucht,64987,0.000860217462000168
